CookerStat, GenerateAssetRegistry=0.023685, Initialize=0.119887, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_11, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.341527, FlushAsyncLoading=0.002634, FlushStreamingFunc=0.039473, BlockTillAllRequestsFinished=0.005554, ResetLoadersForSaveUnMarkAllObjects=0.116963, TagPackageExports=15.379578, BeginCacheForCookedPlatformData=0.008769, SerializeImports=17.300673, GatherLocalizableTextData=15.935730, MarkNames=0.129241, SerializeSummary=0.017546, SerializeNames=0.401761, SerializeGatherableTextData=0.129826, BuildExportMap=0.277199, SortExportsNonSeekfree=2.794214, SortExportsSeekfreeConstructor=0.083920, SortExportsSeekfreeInner=29.771414, SortExportsSeekfree=0.007898, BuildDependencyMap=0.198539, SerializeImportMap=0.026319, SerializeExportMap=0.085380, SerializeDependencyMap=0.017542, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.986160, SerializeExports=22.894070, SerializeBulkData=0.011988, MoveFile=3.099777, UnaccountedTime=0.696212, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_12, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.393283, FlushAsyncLoading=0.003509, FlushStreamingFunc=0.105850, BlockTillAllRequestsFinished=0.005554, ResetLoadersForSaveUnMarkAllObjects=0.123397, TagPackageExports=16.738672, BeginCacheForCookedPlatformData=0.007894, SerializeImports=17.264120, GatherLocalizableTextData=16.223747, MarkNames=0.124857, SerializeSummary=0.019301, SerializeNames=0.413164, SerializeGatherableTextData=0.165503, BuildExportMap=0.273105, SortExportsNonSeekfree=2.776083, SortExportsSeekfreeConstructor=0.062283, SortExportsSeekfreeInner=30.632250, SortExportsSeekfree=0.008188, BuildDependencyMap=0.140939, SerializeImportMap=0.025149, SerializeExportMap=0.083625, SerializeDependencyMap=0.017542, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.018619, SerializeExports=22.141714, SerializeBulkData=0.013448, MoveFile=3.052115, UnaccountedTime=0.771653, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_13, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.385389, FlushAsyncLoading=0.002630, FlushStreamingFunc=0.080410, BlockTillAllRequestsFinished=0.005264, ResetLoadersForSaveUnMarkAllObjects=0.127781, TagPackageExports=14.500901, BeginCacheForCookedPlatformData=0.006434, SerializeImports=15.694495, GatherLocalizableTextData=16.098305, MarkNames=0.160825, SerializeSummary=0.018127, SerializeNames=0.407029, SerializeGatherableTextData=0.126027, BuildExportMap=0.260532, SortExportsNonSeekfree=2.609119, SortExportsSeekfreeConstructor=0.061993, SortExportsSeekfreeInner=28.884844, SortExportsSeekfree=0.007894, BuildDependencyMap=0.142988, SerializeImportMap=0.024561, SerializeExportMap=0.080410, SerializeDependencyMap=0.017542, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.275351, SerializeExports=21.866854, SerializeBulkData=0.012867, MoveFile=3.372006, UnaccountedTime=0.849724, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_14, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.320766, FlushAsyncLoading=0.002924, FlushStreamingFunc=0.051465, BlockTillAllRequestsFinished=0.004385, ResetLoadersForSaveUnMarkAllObjects=0.184506, TagPackageExports=15.358526, BeginCacheForCookedPlatformData=0.007018, SerializeImports=17.741032, GatherLocalizableTextData=18.401571, MarkNames=0.123102, SerializeSummary=0.016082, SerializeNames=0.386853, SerializeGatherableTextData=0.135381, BuildExportMap=0.283927, SortExportsNonSeekfree=2.625201, SortExportsSeekfreeConstructor=0.061993, SortExportsSeekfreeInner=29.349472, SortExportsSeekfree=0.015207, BuildDependencyMap=0.147663, SerializeImportMap=0.024561, SerializeExportMap=0.080705, SerializeDependencyMap=0.016667, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.001367, SerializeExports=21.484974, SerializeBulkData=0.011403, MoveFile=3.121123, UnaccountedTime=0.765514, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_15, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.349425, FlushAsyncLoading=0.003215, FlushStreamingFunc=0.047661, BlockTillAllRequestsFinished=0.005264, ResetLoadersForSaveUnMarkAllObjects=0.124563, TagPackageExports=15.365835, BeginCacheForCookedPlatformData=0.006724, SerializeImports=16.754169, GatherLocalizableTextData=17.779045, MarkNames=0.123978, SerializeSummary=0.016671, SerializeNames=0.400301, SerializeGatherableTextData=0.145908, BuildExportMap=0.300005, SortExportsNonSeekfree=2.772283, SortExportsSeekfreeConstructor=0.060238, SortExportsSeekfreeInner=30.456808, SortExportsSeekfree=0.008479, BuildDependencyMap=0.145618, SerializeImportMap=0.025734, SerializeExportMap=0.084795, SerializeDependencyMap=0.035673, SerializeStringAssetReferenceMap=0.002924, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.222720, SerializeExports=21.591702, SerializeBulkData=0.012279, MoveFile=3.144223, UnaccountedTime=0.723407, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_16, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.319012, FlushAsyncLoading=0.002634, FlushStreamingFunc=0.054095, BlockTillAllRequestsFinished=0.003800, ResetLoadersForSaveUnMarkAllObjects=0.106730, TagPackageExports=15.150041, BeginCacheForCookedPlatformData=0.006724, SerializeImports=16.449776, GatherLocalizableTextData=17.369387, MarkNames=0.126027, SerializeSummary=0.016961, SerializeNames=0.398837, SerializeGatherableTextData=0.166379, BuildExportMap=0.314042, SortExportsNonSeekfree=2.670817, SortExportsSeekfreeConstructor=0.068422, SortExportsSeekfreeInner=29.705040, SortExportsSeekfree=0.008184, BuildDependencyMap=0.144158, SerializeImportMap=0.025146, SerializeExportMap=0.097957, SerializeDependencyMap=0.061113, SerializeStringAssetReferenceMap=0.002924, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.051073, SerializeExports=21.672405, SerializeBulkData=0.011697, MoveFile=3.221415, UnaccountedTime=0.720777, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_17, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=0.322521, FlushAsyncLoading=0.002630, FlushStreamingFunc=0.040352, BlockTillAllRequestsFinished=0.004094, ResetLoadersForSaveUnMarkAllObjects=0.109650, TagPackageExports=14.506459, BeginCacheForCookedPlatformData=0.007603, SerializeImports=15.292734, GatherLocalizableTextData=17.195698, MarkNames=0.115499, SerializeSummary=0.017252, SerializeNames=0.350885, SerializeGatherableTextData=0.169009, BuildExportMap=0.250299, SortExportsNonSeekfree=2.307359, SortExportsSeekfreeConstructor=0.071641, SortExportsSeekfreeInner=27.841837, SortExportsSeekfree=0.008482, BuildDependencyMap=0.115499, SerializeImportMap=0.023097, SerializeExportMap=0.073686, SerializeDependencyMap=0.012867, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.870952, SerializeExports=19.327324, SerializeBulkData=0.011992, MoveFile=3.237501, UnaccountedTime=0.759371, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_18, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=14.828979, FlushAsyncLoading=0.012863, FlushStreamingFunc=0.063453, BlockTillAllRequestsFinished=0.006139, ResetLoadersForSaveUnMarkAllObjects=48.658962, TagPackageExports=1.238037, BeginCacheForCookedPlatformData=0.002045, SerializeImports=13.994168, GatherLocalizableTextData=11.730083, MarkNames=0.098541, SerializeSummary=0.017542, SerializeNames=0.471648, SerializeGatherableTextData=0.032749, BuildExportMap=0.271644, SortExportsNonSeekfree=0.703231, SortExportsSeekfreeConstructor=0.060529, SortExportsSeekfreeInner=24.491764, SortExportsSeekfree=0.006434, BuildDependencyMap=0.109944, SerializeImportMap=0.049122, SerializeExportMap=0.046492, SerializeDependencyMap=0.012282, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.093298, SerializeExports=6.564763, SerializeBulkData=1153.327637, MoveFile=4.457116, UnaccountedTime=0.849728, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_19, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=0.447378, FlushAsyncLoading=0.002630, FlushStreamingFunc=0.060238, BlockTillAllRequestsFinished=0.003505, ResetLoadersForSaveUnMarkAllObjects=54.203529, TagPackageExports=1.381610, BeginCacheForCookedPlatformData=0.004385, SerializeImports=2.384558, GatherLocalizableTextData=11.627152, MarkNames=0.064038, SerializeSummary=0.023391, SerializeNames=0.457320, SerializeGatherableTextData=0.026904, BuildExportMap=0.263453, SortExportsNonSeekfree=0.714637, SortExportsSeekfreeConstructor=0.085384, SortExportsSeekfreeInner=24.194096, SortExportsSeekfree=0.006143, BuildDependencyMap=0.130702, SerializeImportMap=0.050586, SerializeExportMap=0.050586, SerializeDependencyMap=0.012867, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.197103, SerializeExports=6.433181, SerializeBulkData=1118.859375, MoveFile=5.021747, UnaccountedTime=0.898559, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
SavePackageTransactionId043D8EC24DC8E9B654E0EA8C95B067C4_20, Filename=E:/Unreal Projects/SpaceFPS/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=0.422526, FlushAsyncLoading=0.002339, FlushStreamingFunc=0.038303, BlockTillAllRequestsFinished=0.003804, ResetLoadersForSaveUnMarkAllObjects=47.678822, TagPackageExports=1.309968, BeginCacheForCookedPlatformData=0.002049, SerializeImports=2.126068, GatherLocalizableTextData=11.941492, MarkNames=0.097368, SerializeSummary=0.017252, SerializeNames=0.468142, SerializeGatherableTextData=0.033624, BuildExportMap=0.280123, SortExportsNonSeekfree=0.702355, SortExportsSeekfreeConstructor=0.059064, SortExportsSeekfreeInner=24.652004, SortExportsSeekfree=0.008479, BuildDependencyMap=0.123397, SerializeImportMap=0.050876, SerializeExportMap=0.047371, SerializeDependencyMap=0.012282, SerializeStringAssetReferenceMap=0.002339, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.117274, SerializeExports=6.407160, SerializeBulkData=1111.861816, MoveFile=4.452728, UnaccountedTime=0.172812, RunGuid=RunIDD468CB0A4D226B6F77D49DA8F405A898
