DDCTransactionId3C3846E046730F0819BC3883A8D21D08_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24D0387E43918EB5619B5BBD5CFD6B74_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.02-20.12.48, Duration=21.218084, RunGuid=RunIDD9BB7CF14513197FCED15D9AFED3B69B
DDCTransactionId14B14F81460567E5FDF608B8344D3135_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24D0387E43918EB5619B5BBD5CFD6__357624B28B4B8295204E99E23D6F416D8B6418AB, StartTime=2016.04.02-20.12.48, HierarchicalDDC=, DataSize=65799, Duration=5.676910, RunGuid=RunIDD9BB7CF14513197FCED15D9AFED3B69B
DDCTransactionIdF0148FC34B900E2F5BA590BC5DD4AD27_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24D0387E43918EB5619B5BBD5CFD6__0556E0C656384D74401190CAF16F10E03562011C, StartTime=2016.04.02-20.12.48, HierarchicalDDC=, DataSize=16647, Duration=3.140446, RunGuid=RunIDD9BB7CF14513197FCED15D9AFED3B69B
DDCTransactionId790F4A1A4897E9820F92CA9108AEA5CE_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24D0387E43918EB5619B5BBD5CFD6__4E8A2B2FE511D7256E028F2F90EAA0E0DAB3508D, StartTime=2016.04.02-20.12.48, HierarchicalDDC=, DataSize=6604, Duration=3.653705, RunGuid=RunIDD9BB7CF14513197FCED15D9AFED3B69B
